"","gbifID","accessRights","bibliographicCitation","language","license","modified","publisher","references","rightsHolder","type","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","catalogNumber","recordNumber","recordedBy","recordedByID","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","behavior","establishmentMeans","degreeOfEstablishment","pathway","georeferenceVerificationStatus","occurrenceStatus","preparations","disposition","associatedOccurrences","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","organismName","organismScope","associatedOrganisms","previousIdentifications","organismRemarks","materialSampleID","eventID","parentEventID","fieldNumber","eventDate","eventTime","startDayOfYear","endDayOfYear","year","month","day","verbatimEventDate","habitat","samplingProtocol","sampleSizeValue","sampleSizeUnit","samplingEffort","fieldNotes","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","verticalDatum","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","verbatimIdentification","identificationQualifier","typeStatus","identifiedBy","identifiedByID","dateIdentified","identificationReferences","identificationVerificationStatus","identificationRemarks","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","subfamily","genus","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","taxonRank","verbatimTaxonRank","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","depth","depthAccuracy","distanceFromCentroidInMeters","issue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","acceptedTaxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","subgenusKey","speciesKey","species","acceptedScientificName","verbatimScientificName","typifiedName","protocol","lastParsed","lastCrawled","repatriated","relativeOrganismQuantity","projectId","level0Gid","level0Name","level1Gid","level1Name","level2Gid","level2Name","level3Gid","level3Name","iucnRedListCategory","eventType"
"1",786442117,"http://vertnet.org/resources/norms.html","","en","CC0_1_0","8/16/17 8:00",NA,"http://portal.vertnet.org/o/cm/herps?id=117019","","PhysicalObject","urn:lsid:biocol.org:col:34702","","","CM","Herps","","","PRESERVED_SPECIMEN","",NA,"","urn:catalog:CM:Herps:117019","117019","","DAVIDSON, ROBERT L ET AL","",1,NA,"","","",NA,NA,"Native",NA,NA,"requires verification","PRESENT","whole animal in alcohol","",NA,"","",NA,"","","","",NA,NA,"",NA,NA,"",NA,"","10/10/87 0:00","",283,283,1987,10,10,"","","",NA,NA,NA,NA,"","","","South America | Ecuador | Pichincha |  |  |  |  |","SOUTH_AMERICA","",NA,NA,"EC","Pichincha","","","10 KM NW OF PAPALLACTA","South America | Ecuador | Pichincha | 10 KM NW OF PAPALLACTA","3980 M",NA,NA,NA,NA,"","",-0.3432948,-78.1922178,3294,NA,NA,"degrees minutes seconds",NA,"","",NA,"Elisa Bonaccorso (KUNHM)","9/7/2003 0:00:00","VertNet Georeferencing Guidelines","Map SA17-4 (Quito) map 1:250,000. IGM Ecuador","assumed on road to Pifo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","Atelopus ignescens (Cornalia, 1849)",NA,"",NA,NA,NA,NA,"Animalia | Chordata | Amphibia | Anura | BUFONIDAE | ATELOPUS","Animalia","Chordata","Amphibia","Anura","Bufonidae",NA,"Atelopus","Atelopus",NA,NA,"ignescens",NA,NA,"SPECIES",NA,"","ICZN","ACCEPTED",NA,"","76dd8f0d-2daa-4a69-9fcd-55e04230334a","US","9/7/23 16:19",3980,0,NA,NA,NA,"COORDINATE_REPROJECTED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY","",TRUE,FALSE,5216669,5216669,1,44,131,952,6727,2422265,NA,5216669,"Atelopus ignescens","Atelopus ignescens (Cornalia, 1849)","ATELOPUS IGNESCENS",NA,"EML","9/7/23 16:19","1/8/23 9:30",TRUE,NA,NA,"ECU","Ecuador","ECU.16_1","Napo","ECU.16.4_1","Quijos","ECU.16.4.4_1","Papallacta","CR",NA
"3",785358851,"","","","CC_BY_NC_4_0","2/24/23 0:30",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:A-148766","President and Fellows of Harvard College","","b4640710-8e03-11d8-b956-b8a03c50a862","","","MCZ","Herp","","Museum of Comparative Zoology, Harvard University","PRESERVED_SPECIMEN","",NA,"{""age class"":""larva""}","MCZ:Herp:A-148766","A-148766","","Edward Whymper","",2,NA,"","","Larva",NA,NA,"",NA,NA,"unverified","PRESENT","whole animal (formalin/70% ethanol)","not applicable",NA,"","",NA,"previous number=MCZ A-3001","age class: larva","","",NA,NA,"",NA,NA,"",NA,"","###############################################################################################################################################################################################################################################################","",118,NA,1840,4,27,"[no verbatim date data]","","",NA,NA,NA,NA,"","","http://vocab.getty.edu/tgn/1001487","South America: Ecuador: Pichincha","SOUTH_AMERICA","",NA,NA,"EC","Pichincha","","","Macachi","Macachi, Ecuador","",NA,NA,NA,NA,"","",-0.5,-78.5667,4000,1e-05,NA,"decimal degrees",NA,"","",NA,"Elisa Bonaccorso","","MaNIS/HerpNET/ORNIS Georeferencing Guidelines","Calle.com (presently fallingrain.com)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Catalog",NA,"",NA,NA,"2 tadpoles originally found in labeled jar with A-3001 adult frog and moved to separate jar 11MAR1994 by JMartinez. Recatalogued 25APR2013 JMartinez.","",NA,NA,NA,NA,NA,NA,"","Atelopus ignescens (Cornalia, 1849)",NA,"",NA,NA,NA,NA,"Animalia Chordata Amphibia Lissamphibia Anura Bufonoidea Bufonidae Atelopus ignescens","Animalia","Chordata","Amphibia","Anura","Bufonidae",NA,"Atelopus","Atelopus",NA,NA,"ignescens",NA,NA,"SPECIES",NA,"","ICZN","ACCEPTED",NA,"","4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","US","9/28/23 0:06",2907.10888671875,NA,NA,NA,NA,"INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY","",TRUE,FALSE,5216669,5216669,1,44,131,952,6727,2422265,NA,5216669,"Atelopus ignescens","Atelopus ignescens (Cornalia, 1849)","Atelopus ignescens (Cornalia, 1849)",NA,"EML","9/28/23 0:06","9/21/23 15:18",TRUE,NA,NA,"ECU","Ecuador","ECU.19_1","Pichincha","ECU.19.2_1","Mejía","ECU.19.2.5_1","Machachi","CR",NA
"17",686907936,"http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms","","","CC_BY_4_0","11/28/00 20:49",NA,"","","","http://grbio.org/cool/iakn-125z","","","KU","KUH","University of Kansas Biodiversity Institute Herpetology Collection","","PRESERVED_SPECIMEN","",NA,"","be8ed262-b069-11e3-8cfe-90b11c41863e","202245","","","",NA,NA,"","","",NA,NA,"",NA,NA,"Unverified","PRESENT","ETOH - 1","",NA,"","",NA,"","","","",NA,NA,"",NA,NA,"",NA,"","3/27/84 0:00","",NA,NA,1984,3,27,"","","",NA,NA,NA,NA,"","","","Ecuador, Tungurahua","SOUTH_AMERICA","",NA,NA,"EC","Tungurahua","","","48.2 km NNE Guaranda","","",NA,NA,NA,NA,"","",-1.19728,-78.83425,NA,NA,NA,"",NA,"","",NA,"","2004-10-08","MaNIS/HerpNET/ORNIS Georeferencing Guidelines","Alexandria Digital Library","By air",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","Atelopus ignescens (Cornalia, 1849)",NA,"",NA,NA,NA,NA,"","Animalia","Chordata","Amphibia","Anura","Bufonidae",NA,"Atelopus","Atelopus",NA,NA,"ignescens",NA,NA,"SPECIES",NA,"","","ACCEPTED",NA,"","dce00a1f-f6b4-4e11-9771-92c62c40ad80","US","9/7/23 19:08",4107.2431640625,NA,NA,NA,NA,"","",TRUE,FALSE,5216669,5216669,1,44,131,952,6727,2422265,NA,5216669,"Atelopus ignescens","Atelopus ignescens (Cornalia, 1849)","Atelopus ignescens",NA,"EML","9/7/23 19:08","9/5/23 9:31",TRUE,NA,NA,"ECU","Ecuador","ECU.23_1","Tungurahua","ECU.23.1_1","Ambato","ECU.23.1.16_1","San Fernando (Pasa San Fernando)","CR",NA
"18",686907935,"http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms","","","CC_BY_4_0","11/28/00 20:49",NA,"","","","http://grbio.org/cool/iakn-125z","","","KU","KUH","University of Kansas Biodiversity Institute Herpetology Collection","","PRESERVED_SPECIMEN","",NA,"","be8ecc6b-b069-11e3-8cfe-90b11c41863e","202244","","","",NA,NA,"","","",NA,NA,"",NA,NA,"Unverified","PRESENT","ETOH - 1","",NA,"","",NA,"","","","",NA,NA,"",NA,NA,"",NA,"","3/27/84 0:00","",NA,NA,1984,3,27,"","","",NA,NA,NA,NA,"","","","Ecuador, Tungurahua","SOUTH_AMERICA","",NA,NA,"EC","Tungurahua","","","48.2 km NNE Guaranda","","",NA,NA,NA,NA,"","",-1.19728,-78.83425,NA,NA,NA,"",NA,"","",NA,"","2004-10-08","MaNIS/HerpNET/ORNIS Georeferencing Guidelines","Alexandria Digital Library","By air",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","Atelopus ignescens (Cornalia, 1849)",NA,"",NA,NA,NA,NA,"","Animalia","Chordata","Amphibia","Anura","Bufonidae",NA,"Atelopus","Atelopus",NA,NA,"ignescens",NA,NA,"SPECIES",NA,"","","ACCEPTED",NA,"","dce00a1f-f6b4-4e11-9771-92c62c40ad80","US","9/7/23 19:08",4107.2431640625,NA,NA,NA,NA,"","",TRUE,FALSE,5216669,5216669,1,44,131,952,6727,2422265,NA,5216669,"Atelopus ignescens","Atelopus ignescens (Cornalia, 1849)","Atelopus ignescens",NA,"EML","9/7/23 19:08","9/5/23 9:31",TRUE,NA,NA,"ECU","Ecuador","ECU.23_1","Tungurahua","ECU.23.1_1","Ambato","ECU.23.1.16_1","San Fernando (Pasa San Fernando)","CR",NA
"19",686907934,"http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms","","","CC_BY_4_0","11/28/00 20:49",NA,"","","","http://grbio.org/cool/iakn-125z","","","KU","KUH","University of Kansas Biodiversity Institute Herpetology Collection","","PRESERVED_SPECIMEN","",NA,"","be8ec690-b069-11e3-8cfe-90b11c41863e","202243","","","",NA,NA,"","","",NA,NA,"",NA,NA,"Unverified","PRESENT","ETOH - 1","",NA,"","",NA,"","","","",NA,NA,"",NA,NA,"",NA,"","3/27/84 0:00","",NA,NA,1984,3,27,"","","",NA,NA,NA,NA,"","","","Ecuador, Tungurahua","SOUTH_AMERICA","",NA,NA,"EC","Tungurahua","","","48.2 km NNE Guaranda","","",NA,NA,NA,NA,"","",-1.19728,-78.83425,NA,NA,NA,"",NA,"","",NA,"","2004-10-08","MaNIS/HerpNET/ORNIS Georeferencing Guidelines","Alexandria Digital Library","By air",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","Atelopus ignescens (Cornalia, 1849)",NA,"",NA,NA,NA,NA,"","Animalia","Chordata","Amphibia","Anura","Bufonidae",NA,"Atelopus","Atelopus",NA,NA,"ignescens",NA,NA,"SPECIES",NA,"","","ACCEPTED",NA,"","dce00a1f-f6b4-4e11-9771-92c62c40ad80","US","9/7/23 19:08",4107.2431640625,NA,NA,NA,NA,"","",TRUE,FALSE,5216669,5216669,1,44,131,952,6727,2422265,NA,5216669,"Atelopus ignescens","Atelopus ignescens (Cornalia, 1849)","Atelopus ignescens",NA,"EML","9/7/23 19:08","9/5/23 9:31",TRUE,NA,NA,"ECU","Ecuador","ECU.23_1","Tungurahua","ECU.23.1_1","Ambato","ECU.23.1.16_1","San Fernando (Pasa San Fernando)","CR",NA
"20",686907933,"http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms","","","CC_BY_4_0","11/28/00 20:49",NA,"","","","http://grbio.org/cool/iakn-125z","","","KU","KUH","University of Kansas Biodiversity Institute Herpetology Collection","","PRESERVED_SPECIMEN","",NA,"","be8ec0bf-b069-11e3-8cfe-90b11c41863e","202242","","","",NA,NA,"","","",NA,NA,"",NA,NA,"Unverified","PRESENT","ETOH - 1","",NA,"","",NA,"","","","",NA,NA,"",NA,NA,"",NA,"","3/27/84 0:00","",NA,NA,1984,3,27,"","","",NA,NA,NA,NA,"","","","Ecuador, Tungurahua","SOUTH_AMERICA","",NA,NA,"EC","Tungurahua","","","48.2 km NNE Guaranda","","",NA,NA,NA,NA,"","",-1.19728,-78.83425,NA,NA,NA,"",NA,"","",NA,"","2004-10-08","MaNIS/HerpNET/ORNIS Georeferencing Guidelines","Alexandria Digital Library","By air",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","Atelopus ignescens (Cornalia, 1849)",NA,"",NA,NA,NA,NA,"","Animalia","Chordata","Amphibia","Anura","Bufonidae",NA,"Atelopus","Atelopus",NA,NA,"ignescens",NA,NA,"SPECIES",NA,"","","ACCEPTED",NA,"","dce00a1f-f6b4-4e11-9771-92c62c40ad80","US","9/7/23 19:08",4107.2431640625,NA,NA,NA,NA,"","",TRUE,FALSE,5216669,5216669,1,44,131,952,6727,2422265,NA,5216669,"Atelopus ignescens","Atelopus ignescens (Cornalia, 1849)","Atelopus ignescens",NA,"EML","9/7/23 19:08","9/5/23 9:31",TRUE,NA,NA,"ECU","Ecuador","ECU.23_1","Tungurahua","ECU.23.1_1","Ambato","ECU.23.1.16_1","San Fernando (Pasa San Fernando)","CR",NA
"21",686907932,"http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms","","","CC_BY_4_0","11/28/00 20:49",NA,"","","","http://grbio.org/cool/iakn-125z","","","KU","KUH","University of Kansas Biodiversity Institute Herpetology Collection","","PRESERVED_SPECIMEN","",NA,"","be8ebae5-b069-11e3-8cfe-90b11c41863e","202241","","","",NA,NA,"","","",NA,NA,"",NA,NA,"Unverified","PRESENT","ETOH - 1","",NA,"","",NA,"","","","",NA,NA,"",NA,NA,"",NA,"","3/27/84 0:00","",NA,NA,1984,3,27,"","","",NA,NA,NA,NA,"","","","Ecuador, Tungurahua","SOUTH_AMERICA","",NA,NA,"EC","Tungurahua","","","48.2 km NNE Guaranda","","",NA,NA,NA,NA,"","",-1.19728,-78.83425,NA,NA,NA,"",NA,"","",NA,"","2004-10-08","MaNIS/HerpNET/ORNIS Georeferencing Guidelines","Alexandria Digital Library","By air",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","Atelopus ignescens (Cornalia, 1849)",NA,"",NA,NA,NA,NA,"","Animalia","Chordata","Amphibia","Anura","Bufonidae",NA,"Atelopus","Atelopus",NA,NA,"ignescens",NA,NA,"SPECIES",NA,"","","ACCEPTED",NA,"","dce00a1f-f6b4-4e11-9771-92c62c40ad80","US","9/7/23 19:08",4107.2431640625,NA,NA,NA,NA,"","",TRUE,FALSE,5216669,5216669,1,44,131,952,6727,2422265,NA,5216669,"Atelopus ignescens","Atelopus ignescens (Cornalia, 1849)","Atelopus ignescens",NA,"EML","9/7/23 19:08","9/5/23 9:31",TRUE,NA,NA,"ECU","Ecuador","ECU.23_1","Tungurahua","ECU.23.1_1","Ambato","ECU.23.1.16_1","San Fernando (Pasa San Fernando)","CR",NA
"22",686907931,"http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms","","","CC_BY_4_0","11/28/00 20:49",NA,"","","","http://grbio.org/cool/iakn-125z","","","KU","KUH","University of Kansas Biodiversity Institute Herpetology Collection","","PRESERVED_SPECIMEN","",NA,"","be8eb510-b069-11e3-8cfe-90b11c41863e","202240","","","",NA,NA,"","","",NA,NA,"",NA,NA,"Unverified","PRESENT","ETOH - 1","",NA,"","",NA,"","","","",NA,NA,"",NA,NA,"",NA,"","3/27/84 0:00","",NA,NA,1984,3,27,"","","",NA,NA,NA,NA,"","","","Ecuador, Tungurahua","SOUTH_AMERICA","",NA,NA,"EC","Tungurahua","","","48.2 km NNE Guaranda","","",NA,NA,NA,NA,"","",-1.19728,-78.83425,NA,NA,NA,"",NA,"","",NA,"","2004-10-08","MaNIS/HerpNET/ORNIS Georeferencing Guidelines","Alexandria Digital Library","By air",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","Atelopus ignescens (Cornalia, 1849)",NA,"",NA,NA,NA,NA,"","Animalia","Chordata","Amphibia","Anura","Bufonidae",NA,"Atelopus","Atelopus",NA,NA,"ignescens",NA,NA,"SPECIES",NA,"","","ACCEPTED",NA,"","dce00a1f-f6b4-4e11-9771-92c62c40ad80","US","9/7/23 19:08",4107.2431640625,NA,NA,NA,NA,"","",TRUE,FALSE,5216669,5216669,1,44,131,952,6727,2422265,NA,5216669,"Atelopus ignescens","Atelopus ignescens (Cornalia, 1849)","Atelopus ignescens",NA,"EML","9/7/23 19:08","9/5/23 9:31",TRUE,NA,NA,"ECU","Ecuador","ECU.23_1","Tungurahua","ECU.23.1_1","Ambato","ECU.23.1.16_1","San Fernando (Pasa San Fernando)","CR",NA
"23",686907930,"http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms","","","CC_BY_4_0","11/28/00 20:49",NA,"","","","http://grbio.org/cool/iakn-125z","","","KU","KUH","University of Kansas Biodiversity Institute Herpetology Collection","","PRESERVED_SPECIMEN","",NA,"","be8eaf3d-b069-11e3-8cfe-90b11c41863e","202239","","","",NA,NA,"","","",NA,NA,"",NA,NA,"Unverified","PRESENT","ETOH - 1","",NA,"","",NA,"","","","",NA,NA,"",NA,NA,"",NA,"","3/27/84 0:00","",NA,NA,1984,3,27,"","","",NA,NA,NA,NA,"","","","Ecuador, Tungurahua","SOUTH_AMERICA","",NA,NA,"EC","Tungurahua","","","48.2 km NNE Guaranda","","",NA,NA,NA,NA,"","",-1.19728,-78.83425,NA,NA,NA,"",NA,"","",NA,"","2004-10-08","MaNIS/HerpNET/ORNIS Georeferencing Guidelines","Alexandria Digital Library","By air",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","Atelopus ignescens (Cornalia, 1849)",NA,"",NA,NA,NA,NA,"","Animalia","Chordata","Amphibia","Anura","Bufonidae",NA,"Atelopus","Atelopus",NA,NA,"ignescens",NA,NA,"SPECIES",NA,"","","ACCEPTED",NA,"","dce00a1f-f6b4-4e11-9771-92c62c40ad80","US","9/7/23 19:08",4107.2431640625,NA,NA,NA,NA,"","",TRUE,FALSE,5216669,5216669,1,44,131,952,6727,2422265,NA,5216669,"Atelopus ignescens","Atelopus ignescens (Cornalia, 1849)","Atelopus ignescens",NA,"EML","9/7/23 19:08","9/5/23 9:31",TRUE,NA,NA,"ECU","Ecuador","ECU.23_1","Tungurahua","ECU.23.1_1","Ambato","ECU.23.1.16_1","San Fernando (Pasa San Fernando)","CR",NA
"24",686907929,"http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms","","","CC_BY_4_0","11/28/00 20:49",NA,"","","","http://grbio.org/cool/iakn-125z","","","KU","KUH","University of Kansas Biodiversity Institute Herpetology Collection","","PRESERVED_SPECIMEN","",NA,"","be8ea979-b069-11e3-8cfe-90b11c41863e","202238","","","",NA,NA,"","","",NA,NA,"",NA,NA,"Unverified","PRESENT","ETOH - 1","",NA,"","",NA,"","","","",NA,NA,"",NA,NA,"",NA,"","3/27/84 0:00","",NA,NA,1984,3,27,"","","",NA,NA,NA,NA,"","","","Ecuador, Tungurahua","SOUTH_AMERICA","",NA,NA,"EC","Tungurahua","","","48.2 km NNE Guaranda","","",NA,NA,NA,NA,"","",-1.19728,-78.83425,NA,NA,NA,"",NA,"","",NA,"","2004-10-08","MaNIS/HerpNET/ORNIS Georeferencing Guidelines","Alexandria Digital Library","By air",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","Atelopus ignescens (Cornalia, 1849)",NA,"",NA,NA,NA,NA,"","Animalia","Chordata","Amphibia","Anura","Bufonidae",NA,"Atelopus","Atelopus",NA,NA,"ignescens",NA,NA,"SPECIES",NA,"","","ACCEPTED",NA,"","dce00a1f-f6b4-4e11-9771-92c62c40ad80","US","9/7/23 19:08",4107.2431640625,NA,NA,NA,NA,"","",TRUE,FALSE,5216669,5216669,1,44,131,952,6727,2422265,NA,5216669,"Atelopus ignescens","Atelopus ignescens (Cornalia, 1849)","Atelopus ignescens",NA,"EML","9/7/23 19:08","9/5/23 9:31",TRUE,NA,NA,"ECU","Ecuador","ECU.23_1","Tungurahua","ECU.23.1_1","Ambato","ECU.23.1.16_1","San Fernando (Pasa San Fernando)","CR",NA
